序号,中文,英文,阿语,土耳其,印尼语,俄语,韩语,葡萄牙语,泰语,西班牙语,印地语,越南语 ,乌尔都语
iOS,为了视频通话和拍照，需要开启相机权限,"In order to video call and take photos, the camera permission needs to be turned on.",لإجراء مكالمة فيديو والتقاط الصور ، يجب تشغيل إذن الكاميرا.,Görüntülü arama yapmak ve fotoğraf çekmek için telefon ayarlarından erişime izin verin.,"Untuk panggilan video dan mengambil foto, izin kamera perlu dinyalakan.","Для того, чтобы пользоваться видеоразговором и фотографировать, надо предоставить право использования фотоаппарата.",영상 통화와 사진 찍기가 카메라 권한 필요,"Para fazer chamadas de vídeo e tirar fotos, a permissão da câmera precisa estar ativada.",ต้องการเปิดใช้งานการอนุญาตของกล้องถ่ายรูป เพื่อวิดีโอคอลและถ่ายรูป ,"Para realizar videollamadas y tomar fotos, debe habilitar los permisos de la cámara","वीडियो कॉल और तस्वीर लेने के लिए, कैमरा अनुमति को चालू करने की आवश्यकता है","Để thưởng thức cuộc gọi video và chụp ảnh, bạn cần cấp quyền hạn camera",ویڈیو کال کرنے اور تصاویر لینے کے لئیے، آپ کو کیمرے کی اجازت کو فعال کرنے کی ضرورت ہے
,将根据你的位置推荐更合适的人，需要开启定位权限,"A more suitable person will be recommended based on your location, and the location permission needs to be turned on.","
سيتم التوصية بشخص أكثر ملاءمة بناءً على موقعك ، ويجب تشغيل إذن الموقع.",Konumunuza daha uygun kişileri önerebilmemiz için konum erişimine izin verin.,"Orang yang lebih cocok akan direkomendasikan berdasarkan lokasi Anda, dan izin lokasi perlu dinyalakan.","Будет по твоему местонахождению рекомендовать друзей, надо открыть право определения местонахождения. ",당신의 위치에 따라 어울리는 사람 추천하기 위해 위치 권한 필요,Pessoas mais adequadas serão recomendadas com base na sua localização e a permissão da localização precisa estar ativada.,ต้องการเปิดใช้งานการอนุญาตตำแหน่ง เพื่อแนะนำคนที่เหมาะสมตามตำแหน่งของคุณ ,"Recomendará personas más adecuadas según su ubicación, debe habilitar los permisos de ubicación.","आपके लोकेशन के आधार पर एक उपयुक्त व्यक्ति की सिफारिश की जाएगी, और लोकेशन की अनुमति को चालू करने की आवश्यकता है","Để giới thiệu người phù hợp hơn nữa theo vị trí của bạn, bạn cần cấp quyền hạn định vị","اپنے مقام کی بنیاد پر زیادہ مناسب افراد کی سفارش کریں ، آپ کو مقام کی اجازت کو فعال کرنا درکار ہے
"
,为了视频通话，需要开启麦克风权限,"In order to video call, the microphone permission needs to be turned on.","
لإجراء مكالمة فيديو ، يجب تشغيل إذن الميكروفون.",Görüntülü aramalar için mikrofon erişimine izin verin.,"Untuk panggilan video, izin mikrofon perlu dinyalakan.","Для того, чтобы пользоваться видеоразговором, надо предоставить право использования микрофона. ",영상통화가 마이크 권한 필요,"Para fazer uma chamada de vídeo, a permissão do microfone precisa estar ativada.",ต้องการเปิดใช้งานการอนุญาตไมโครโฟน เพื่อวิดีโอคอล,"Para realizar videollamadas, debe habilitar los permisos del micrófono","वीडियो कॉल करने के लिए, माइक्रोफ़ोन की अनुमति को चालू करना होगा","Để thưởng thức cuộc gọi video, bạn cần cấp quyền hạn Micrô",ویڈیو کال کرنے کے لئیے. ، مائکروفون اجازت کو کھولنے کی ضرورت ہے
,为了修改头像、发送图片给朋友等，需要从你的相册访问相片,"In order to modify the avatar, send pictures to friends and etc, we need to access the photos from your album","
من أجل تعديل الصورة الرمزية ، وإرسال الصور إلى الأصدقاء وما إلى ذلك ، نحتاج إلى الوصول إلى الصور من ألبومك",Profil resminizi değiştirmek veya arkadaşlarınıza resim öndermek için kendi fotoğraf albümünüze gitmeniz gerekir. ,"Untuk memodifikasi avatar, mengirim gambar ke teman dan lain-lain, kami perlu mengakses foto dari album Anda.","Для того, чтобы сменять аватар, послать фотографии друзьям, надо предоставить право посещения твоего фотоальбома. ","프사 수정, 친구에게 사진 보내기가 당신의 앨범에서 사진 방문해야 함","Para modificar o avatar, enviar fotos para amigos e etc., precisamos acessar as fotos do seu álbum",ต้องการเข้าถึงรูปภาพจากอัลบั้มของคุณ เพื่อแก้ไขภาพประจำตัว ส่งภาพให้เพื่อน ฯลฯ ,"Para modificar la foto del perfil, enviar fotos a amigos, etc., debe acceder a las fotos de tu álbum.","अवतार को संशोधित करने के लिए, दोस्तों और आदि को तस्वीर भेजें, हमें आपके एल्बम से तस्वीरों की  उपलब्धता की आवश्यकता है","Để sửa ảnh đại diện, gửi hình ảnh cho bạn bè vv, cần truy cập ảnh từ tập ảnh của bạn",اوتار میں ترمیم کرنے ، دوستوں کو تصاویر بھیجنے وغیرہ کے لئیے، آپ کو اپنے البم سے تصاویر تک رسائی درکار ہے
安卓,视频通话、拍照和储存照片,"Video call, take photos and store photos",مكالمة فيديو ، والتقاط الصور وتخزين الصور,"Görüntülü arama, fotoğraf çekme ve fotoğraf kaydetme","Panggilan video, ambil foto dan simpan foto.","Видеоразговор, фотографирование и хранение фотографий. ",영상 통화、사진 찍기 및 사진 조장 ,"Vídeochamada, tire fotos e armazene fotos",วิดีโอคอล ถ่ายภาพและบันทึกภาพ,"Videollamadas, tomar fotos y guardar fotos","वीडियो कॉल, तस्वीर लें और तस्वीर संग्रहीत करें","Cuộc gọi video, chụp ảnh và lưu ảnh",ویڈیو کال ، فوٹو لیں اور تصاویر محفوظ کریں
,视频通话,Video call,مكالمة فيديو,Görüntülü arama,Panggilan video.,Видеоразговор,영상 통화,Vídeo chamada,วิดีโอคอล,Videollamadas,वीडियो कॉल,Cuộc gọi video,ویڈیو کال کریں
,根据你的位置推荐更合适的人,Recommend more suitable people based on your location,اقترح أشخاصًا أكثر ملاءمة استنادًا إلى موقعك,Konumunuza göre size daha uygun kişiler önerilir.,22. Rekomendasikan lebih banyak orang yang cocok berdasarkan lokasi Anda,Будет по твоему местонахождению рекомендовать друзей,당신의 위치에 따라 어울리는 사람 추천,Recomendar pessoas mais adequadas com base na sua localização,แนะนำคนที่เหมาะสมตามตำแหน่งของคุณ ,Recomiende personas más adecuadas según su ubicación,अपने लोकेशन के आधार पर अधिक उपयुक्त लोगों की सिफारिस करें,Giới thiệu người phù hợp hơn theo vị trí của bạn,اپنےمقام کی بنیاد پر زیادہ موزوں افراد کی سفارش کریں
随机匹配,随机,Random,عشوائية,Rastgele,Acak,Случайно,랜덤,Aleatório,สุ่ม,Aleatorio,यादृच्छिक,Tùy máy,بے ترتیب
,在线,Online,متصل,Online,Online,В сети,온라인,Online,ออนไลน์,En línea,ऑनलाइन,Trực tuyến,آن لائن
,性别,Gender,جنس,Cinsiyet,Jenis Kelamin,Пол,성별,Sexo,เพศ,Género,लिंग,Giới tính,جنس
,区域,Region,منطقة,Bölge,Wilayah,Район,지역,Região,ภูมิภาค,Región,क्षेत्र,Khu vực,علاقہ
,开始聊天,Start,بداية,Başla,Mulai,Начать разговор,채팅 시작  ,Começar,แชทเลย,Empezar a chatear,वात करना शुरू करें,Bắt đầu trò chuyện,آغاز کریں
,下一个,Next,التالى,Sonraki,Selanjutnya,Следующий ,다음,Próximo,ต่อไป,Siguiente,आगे जाएं,Tiếp theo,اگلا
,连接中……,Connecting……,تواصل ……,Bağlanıyor…,Menghubungkan,В процессе соединения......,연결 중 ,Conectando ……,กำลังเชื่อมต่อ ......,Conectando,जोड़ा जा रहा हैं......,Đang kết nối…,منسلک ہورہا ہے
,对方拒绝了你。不用担心，还有其他人正在等你!,"The other side has rejected you.Don't worry,there are many other friends are waiting for you to match!",قام الجانب الآخر برفضك ، لا تقلق ، هناك العديد من الأصدقاء الآخرين في انتظارك!,"Karşı taraf reddetti. Üzülmeyin, sizinle eşleşmeyi bekleyen başka arkadaşlar var!","Pihak lain telah menolak Anda. Jangan khawatir, ada banyak teman lain yang menunggu Anda bagi Anda untuk mencocokkan!","Отказался (лась) от разговора. Не беспокойтесь, другие ждут тебя!",상대방이 당신을 거절했음. 걱정 말고 다른 사람이 당신을 기다리고 있음!,"O outro lado rejeitou você. Não se preocupe, existem muitos outros amigos esperando por você para combinar!",อีกฝ่ายปฏิเสธคุณแล้ว แต่ไม่ต้องกังวล จะมีคนอื่นรอการจับคู่อยู่,"La otra parte te rechazó.  ¡No se preocupe, hay otros esperando que coincida!","दूसरे पक्ष ने आपको अस्वीकार कर दिया है।इतना मत सोचे, अन्य कई दोस्त हैं जो आप मैच के लिए इंतजार कर रहे हैं!","Phía bên kia đã từ chối bạn. Không lo đâu, còn có bạn bè khác muốn kết hợp với bạn!",دوسری طرف نے آپ کو مسترد کردیا ہے۔پریشان مت ہوں ، بہت سے دوسرے دوست ہیں جو آپ کے میچ کے منتظر ہیں!
,TA没有露脸，系统已经细心地为你添加了一层遮罩。,"The other side doesn't show the face, so the system blurs the video for you.",لا يقوم / تقوم بإظهار الوجه ، لذا يقوم النظام بتمويه الفيديو لك.,"Diğer tarafta yüz gösterilmiyor, bu nedenle sistem videoyu sizin için bulanıklaştırıyor.","Sisi lain tidak menunjukkan wajah, sehingga sistem mengaburkan video untuk Anda.","TA (он или она) не показался (лась), система для тебя добавила слой покрытия. ","그는 얼굴 드러내지 않음, 시스템이 당신에게 세심하게 커버를 해줬음.","O outro lado não mostra o rosto, então o sistema desfoca o vídeo para você.",เขาไม่ได้แสดงใบหน้า ระบบได้เพิ่มหน้ากากอย่างระมัดระวังสำหรับคุณ,"No mostró su cara, el sistema ha agregado una máscara para ti.","दूसरा पक्ष चेहरा नहीं दिखाता है, इसलिए सिस्टम आपके लिए वीडियो को ब्लर करता है।","Bạn ấy không hiển thị khuôn mặt, vì vậy hệ thống làm một lớp mặt nà cho bạn.",دوسری طرف چہرہ نہیں دکھاتا ہے ، لہذا نظام،  آپ کے لئے ویڈیو کو دھندلا دیتا ہے۔
,移除遮罩,Remove mask,إزالة القناع,Maskeyi Kaldır,Lepaskan topeng,Удалить покрытие. ,커버 해제 ,Remover máscara,ยกเลิกหน้ากาก,Quitar la máscara,मास्क हटा दें,Tháo mặt mà,ماسک ہٹائیں
,重新匹配,Rematch,إعادة الإقتران,Tekrar Eşleş,Pertandingan ulang,Вновь составить пару ,다시 매칭 ,Re-combinar,จับคู่ใหม่,Coincide otra vez,फिर से मैच करें,Kết hợp lại,دوبارو ملائِں
